전체 IPC,Unnamed: 2,Unnamed: 4,Unnamed: 6,Unnamed: 8,Unnamed: 10,Unnamed: 12,Unnamed: 14,Unnamed: 16,Unnamed: 18,Unnamed: 20,Unnamed: 22,Unnamed: 24,Unnamed: 26,Unnamed: 28,Unnamed: 30,Unnamed: 32,Unnamed: 34,Unnamed: 36,Unnamed: 38,Unnamed: 40,Unnamed: 42,Unnamed: 44,Unnamed: 46,Unnamed: 48,Unnamed: 50,Unnamed: 52,Unnamed: 54,Unnamed: 56,Unnamed: 58,Unnamed: 60,Unnamed: 62,Unnamed: 64,Unnamed: 66,Unnamed: 68,Unnamed: 70,Unnamed: 72,Unnamed: 74,Unnamed: 76,Unnamed: 78,Unnamed: 80,Unnamed: 82
B64C, B64C, F16H, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, A47C, A47C, B60N, B60N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F41B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G01N, G01N, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, E03B, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, F02C, F02K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G08G, G08G, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H02H, B60L, B60L, B60L, B64C, B64D, H01M, H01M, H01M, H01M, H01M, H01M, H01M, H01M, H01M, H01M, H02J, , , , , , , , , , , , , , , , , , , , , , , , , 
F01D, F01D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
E03B, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, B64D, F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
A61K, A61P, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H04B, H04Q, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, F02K, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F01D, F01D, F01D, F04D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H04L, H04L, H04L, H04L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64C, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, B64C, B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, A47B, B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B60S, B60S, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01L, H01L, H01L, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
H01M, H01M, H01M, H01M, H01M, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F01D, F01D, F01D, F01D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
F01D, F01D, F01D, F01D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B60T, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
G05D, G05D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
B64D, B64D, B64D, F02C, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
